Date,Realized 5-day PnL,Historical VaR,Parametric VaR,Monte Carlo VaR,EWMA VaR,GARCH VaR,FHS VaR
2006-01-04,6850.922228669485,,,,,,
2006-01-05,2052.6379947908376,,,,,,
2006-01-06,4596.729164372254,,,,,,
2006-01-09,1259.7789728036116,,,,,,
2006-01-10,-9049.99102930997,,,,,,
2006-01-11,-21032.708418637423,,,,,,
2006-01-12,-19398.170396964037,,,,,,
2006-01-13,-45106.444317415204,,,,,,
2006-01-17,-80464.79728191269,,,,,,
2006-01-18,-59961.427217046294,,,,,,
2006-01-19,-31259.376592003384,,,,,,
2006-01-20,-24953.52811264334,,,,,,
2006-01-23,17623.144414839528,,,,,,
2006-01-24,54153.43785339393,,,,,,
2006-01-25,26103.507220681833,,,,,,
2006-01-26,14365.598904248642,,,,,,
2006-01-27,-10289.988873805616,,,,,,
2006-01-31,-24487.631985330812,,,,,,
2006-02-01,-33026.32741457125,,,,,,
2006-02-02,-22236.835089605058,,,,,,
2006-02-03,-16590.253360084145,,,,,,
2006-02-06,5167.278045350332,,,,,,
2006-02-07,-2089.9266620569265,,,,,,
2006-02-08,3595.58916753926,,,,,,
2006-02-09,-332.0586812047086,,,,,,
2006-02-10,1050.7985263689488,,,,,,
2006-02-13,2066.616881964999,,,,,,
2006-02-14,12351.437214870319,,,,,,
2006-02-15,10319.44744775599,,,,,,
2006-02-16,23948.96227694097,,,,,,
2006-02-17,20775.062422220944,,,,,,
2006-02-21,20593.156434480916,,,,,,
2006-02-22,12554.307518803855,,,,,,
2006-02-23,9280.952834693298,,,,,,
2006-02-24,-9280.07075329547,,,,,,
2006-02-27,-9703.620066790245,,,,,,
2006-02-28,-25037.57525304575,,,,,,
2006-03-02,-23232.860466526054,,,,,,
2006-03-03,-19824.388318001762,,,,,,
2006-03-06,-2247.538046302636,,,,,,
2006-03-07,752.1726992333403,,,,,,
2006-03-08,10353.335203702827,,,,,,
2006-03-09,11516.891200652479,,,,,,
2006-03-10,9231.320937042616,,,,,,
2006-03-13,4805.906102248336,,,,,,
2006-03-14,1961.6519196826048,,,,,,
2006-03-15,-1466.6208748748645,,,,,,
2006-03-16,-10295.120117829914,,,,,,
2006-03-17,-10605.803898665368,,,,,,
2006-03-20,-7553.274760995801,,,,,,
2006-03-21,-8782.366185857165,,,,,,
